nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.14151312,0.51450175,0.19665171,0.6133411,0.2591574,0.44568512,0.29306594,0.5378562,0.35053995,0.38600045,0.25090125,0.44284746,0.40365142,0.26753256,0.49102303,0.6710799,0.50435984,0.540051,0.7015499,0.7076667,0.69227314,0.46219674,0.79108703,0.76719314,0.8874841,0.47418424,forehand
0.1443295,0.49677095,0.2054667,0.59806645,0.25139967,0.42925635,0.33959138,0.5147293,0.3615464,0.38571653,0.37032697,0.37536532,0.42545468,0.27329156,0.49455333,0.6614398,0.50366807,0.52886325,0.70052785,0.6991426,0.6931312,0.45273584,0.79530376,0.76650673,0.8912104,0.46588346,forehand
0.13601357,0.48388582,0.20068254,0.5767076,0.23750913,0.41812843,0.32223782,0.49350053,0.36124167,0.38434348,0.31546608,0.3951481,0.4298647,0.2700872,0.4860785,0.6437492,0.49892205,0.5110355,0.69629794,0.68694663,0.6970118,0.4377557,0.76886594,0.73847747,0.88853204,0.45354667,forehand
0.13382927,0.48281923,0.20481244,0.5761855,0.2399349,0.41617677,0.33154884,0.49839005,0.35985926,0.3991584,0.39203897,0.3617007,0.42028913,0.3112863,0.48245522,0.64910895,0.49472278,0.5168876,0.6887494,0.6902735,0.6923349,0.44719416,0.7588217,0.73246044,0.8842528,0.46054712,forehand
0.12344613,0.46211538,0.19645934,0.56281406,0.2451148,0.4018789,0.33838704,0.5515688,0.38794318,0.36950955,0.40243843,0.46430847,0.48376682,0.26342836,0.4800268,0.6349822,0.4954997,0.50215536,0.6957753,0.68133605,0.68983567,0.43329224,0.7940067,0.72485137,0.8829163,0.4461461,forehand
0.12726894,0.4642487,0.20323092,0.57430804,0.25573695,0.4138812,0.32484734,0.6291623,0.3929737,0.39212,0.45613986,0.5416472,0.49627796,0.29734588,0.484541,0.64713466,0.5010626,0.5167046,0.6900986,0.6990076,0.69618237,0.45370093,0.78768545,0.72450805,0.88744646,0.45892376,forehand
0.14172284,0.4533511,0.1973827,0.56996274,0.25039607,0.4094778,0.30795628,0.6820667,0.39309463,0.40080732,0.44445208,0.692663,0.49587482,0.3121892,0.4865228,0.6336271,0.50015855,0.51077515,0.6754313,0.69414407,0.6929215,0.45219442,0.8202437,0.7254291,0.88150185,0.45335546,forehand
0.115270995,0.44326663,0.1782926,0.57834107,0.23173614,0.4006381,0.28358668,0.7208388,0.38234016,0.38690853,0.4231978,0.77974373,0.49035951,0.29032215,0.4659741,0.6297566,0.48196527,0.49886283,0.6663092,0.6859213,0.6894713,0.44825336,0.7833038,0.7066935,0.88858145,0.44520393,forehand
0.111224815,0.43517452,0.16829138,0.5709628,0.25217658,0.37896848,0.2536178,0.70936716,0.3874778,0.35347953,0.381246,0.7899726,0.48899138,0.25562537,0.45395064,0.6110904,0.47812492,0.4770048,0.6456193,0.64950997,0.67629194,0.43864036,0.77072406,0.6776233,0.87647635,0.41736206,forehand
0.117411435,0.42718482,0.16527563,0.56818146,0.25435045,0.37323558,0.22529861,0.68429065,0.3921969,0.33164454,0.30968872,0.7751878,0.47020525,0.22158787,0.45643377,0.6025705,0.4809503,0.47376052,0.6372464,0.6381498,0.67996645,0.43509123,0.77230865,0.6583774,0.8843697,0.40226445,forehand
0.12256477,0.4605975,0.16957673,0.58207786,0.24857795,0.39227697,0.24499746,0.7098509,0.37113282,0.35331753,0.30892232,0.79731625,0.41832978,0.2454171,0.46067867,0.60980517,0.48416182,0.49538088,0.6309482,0.67004216,0.67772514,0.4592117,0.77292424,0.66468877,0.8702337,0.42041773,forehand
0.14179885,0.4539667,0.18150817,0.5622162,0.24186829,0.400602,0.24268627,0.67671555,0.35766098,0.37495604,0.30310717,0.77374595,0.36253795,0.2832666,0.46489564,0.59906834,0.48716614,0.4838131,0.62575245,0.673163,0.6753958,0.45631078,0.78381616,0.65206504,0.873879,0.40003327,forehand
0.13412662,0.44054082,0.18371093,0.5467309,0.2216595,0.39649174,0.25078392,0.62979823,0.32396713,0.45686206,0.28359005,0.7472241,0.3222791,0.5060652,0.46184307,0.5766612,0.481173,0.47602364,0.62440324,0.66385466,0.676531,0.43992573,0.80828905,0.64976126,0.8813727,0.38147944,forehand
0.10545181,0.4079194,0.17647277,0.4939391,0.207429,0.34983405,0.2628719,0.5953717,0.3212168,0.41774726,0.26337764,0.7004063,0.2078223,0.48015425,0.45936903,0.5289203,0.47618753,0.4251346,0.6275356,0.60347235,0.68431497,0.3900385,0.82389927,0.62224245,0.8795699,0.32628933,forehand
0.14316197,0.42474854,0.21946503,0.4795356,0.21892783,0.36164984,0.28398073,0.600661,0.18322544,0.5307763,0.27781162,0.6680328,0.12117916,0.6404646,0.47954693,0.5256124,0.49471298,0.42448318,0.65469295,0.5956019,0.7001782,0.3956193,0.8363493,0.62540674,0.8920247,0.3348474,forehand
0.1397528,0.4400765,0.22940291,0.47878006,0.20563893,0.39093235,0.32149458,0.547231,0.15538763,0.612365,0.45205426,0.54417455,0.14458226,0.6935043,0.49202687,0.5275912,0.49683118,0.43637943,0.6688609,0.5963267,0.69595546,0.4054841,0.84359795,0.6416685,0.8930462,0.34019142,forehand
0.14750986,0.45573932,0.22968031,0.41779786,0.20869547,0.42530298,0.37001336,0.47832868,0.20763426,0.5656837,0.4670165,0.5287077,0.15660754,0.66324264,0.5001715,0.4587795,0.49321833,0.4752281,0.7015747,0.41154128,0.67790693,0.5749288,0.8500073,0.632044,0.8509823,0.6292825,forehand
